Model,mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb,Cluster,PCA1,PCA2
17,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4,2,0.6572132030769823,1.7354457193466988
18,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4,2,0.6293955057650221,1.550033440235737
4,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1,3,2.779397042600655,-0.14645661615120872
12,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1,1,0.31177070864387463,-2.3630190329979572
13,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2,0,-1.9744889418824279,-0.7544021927891151
30,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1,1,0.05613753371745812,-2.7859996037352186
6,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4,0,-3.002674287971549,0.33488742033347735
20,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2,1,2.055328728920477,-1.4651808044113601
19,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,1,2.287408384203647,-1.9835264871949987
21,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,1,0.526381207657531,-0.1620125805102747
22,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,1,0.5092054932117974,-0.3238944602631562
23,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,0,-2.247810435898336,-0.6834739796591379
24,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,0,-2.0478227622480913,-0.6832206814036496
25,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3,0,-2.1485421614963123,-0.8017394918119837
1,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4,0,-3.899790371739787,-0.8279480737991539
14,10.4,8,460.0,215,3.0,5.424,17.82,0,0,3,4,0,-3.954123109739336,-0.733381464502605
3,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4,0,-3.5929719882026485,-0.42113487132836464
8,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,3,3.856283756678447,-0.29675188964064897
11,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,3,4.254032503243713,0.6884139909806392
28,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,3,4.234220743550577,-0.2792874567662764
29,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,1,1.9041678565621722,-2.1198383120478796
5,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2,0,-2.1848507429974466,-1.0142171478552842
0,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2,0,-1.8633834347480425,-0.906464534101316
2,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4,0,-2.8889945733369577,0.6808260464233719
26,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2,0,-2.2459189274028466,-0.8738121283617886
9,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1,3,3.5739682963701047,-0.1212038211394187
27,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2,3,2.651255054106086,2.0463708720628175
15,30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2,3,3.385705988150811,1.3785992557680296
10,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4,2,-1.3729574237971724,3.4999995906118313
7,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6,2,0.0009899207309228136,3.2190721893176164
16,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8,2,-2.669125865803614,4.379677185715506
31,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2,3,2.4205931000742966,0.2336399196750725
